Type;Class;Variable1;Variable2;Variable3;Frequency;Frequency_Difference
U;0;(Street, large_local);(Humidity(_%), '\'(93.5-inf)\'');(Stop, True);0.000;;
U;0;(Wind_Direction, NW);(Weather_Condition, Drizzle);(Crossing, True);0.000;;
U;0;(Street, Highway);(Humidity(_%), '\'(82.5-93.5]\'');(Stop, True);0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, Cloudy);(Station, True);0.000;;
U;0;(Wind_Direction, SW);(Weather_Condition, Cloudy);(Stop, True);0.000;;
U;0;(Street, large_local);(Humidity(_%), '\'(93.5-inf)\'');(Amenity, True);0.000;;
U;0;(Wind_Direction, E);(Weather_Condition, 'Mostly Cloudy');(Crossing, True);0.000;;
U;0;(Wind_Direction, E);(Weather_Condition, 'Partly Cloudy');(Crossing, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, S);(Crossing, True);0.000;;
U;0;(Street, large_local);(Weather_Condition, Cloudy);(Stop, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, Variable);(Weather_Condition, 'Mostly Cloudy');0.000;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, E);(Crossing, True);0.000;;
U;0;(Street, Highway);(Wind_Direction, Calm);(Stop, True);0.000;;
U;0;(Wind_Direction, N);(Amenity, True);(Traffic_Signal, False);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, E);(Crossing, True);0.000;;
U;0;(Wind_Direction, Calm);(Weather_Condition, Drizzle);(Crossing, True);0.000;;
U;0;(Street, Highway);(Wind_Direction, NW);(Stop, True);0.000;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, N);(Crossing, True);0.000;;
U;0;(Wind_Direction, NE);(Weather_Condition, Cloudy);(Station, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, E);(Weather_Condition, Fair);0.000;;
U;0;(Wind_Direction, NE);(Amenity, True);(Traffic_Signal, True);0.000;;
U;0;(Wind_Direction, Variable);(Crossing, True);(Sunrise_Sunset, Night);0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, NE);(Station, True);0.000;;
U;0;(Wind_Direction, S);(Weather_Condition, Fair);(Station, True);0.000;;
U;0;(Weather_Condition, Fog);(Crossing, True);(Traffic_Signal, False);0.000;;
U;0;(Weather_Condition, 'Mostly Cloudy');(Junction, True);(Traffic_Signal, True);0.000;;
U;0;(Wind_Direction, NE);(Weather_Condition, 'Partly Cloudy');(Crossing, True);0.000;;
U;0;(Wind_Direction, S);(Weather_Condition, Drizzle);(Crossing, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Amenity, True);(Traffic_Signal, True);0.000;;
U;0;(Crossing, True);(Junction, True);(Sunrise_Sunset, Night);0.000;;
U;0;(Street, large_local);(Wind_Direction, S);(Station, True);0.000;;
U;0;(Street, large_local);(Wind_Direction, NE);(Amenity, True);0.000;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, E);(Weather_Condition, Fog);0.000;;
U;0;(Street, large_local);(Weather_Condition, 'Partly Cloudy');(Stop, True);0.000;;
U;0;(Wind_Direction, SW);(Weather_Condition, 'Partly Cloudy');(Stop, True);0.000;;
U;0;(Wind_Direction, S);(Weather_Condition, Drizzle);(Traffic_Signal, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, E);(Weather_Condition, 'Partly Cloudy');0.000;;
U;0;(Wind_Direction, Calm);(Weather_Condition, 'Partly Cloudy');(Stop, True);0.000;;
U;0;(Street, Highway);(Weather_Condition, Cloudy);(Stop, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Amenity, True);(Crossing, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, NW);(Weather_Condition, 'Scattered Clouds');0.000;;
U;0;(Street, large_local);(Humidity(_%), '\'(82.5-93.5]\'');(Stop, True);0.000;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, NW);(Stop, True);0.000;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, SW);(Stop, True);0.000;;
U;0;(Wind_Direction, NW);(Crossing, True);(Junction, True);0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, Fair);(Station, True);0.000;;
U;0;(Wind_Direction, N);(Amenity, True);(Crossing, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, Cloudy);(Station, True);0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, Variable);(Weather_Condition, 'Partly Cloudy');0.000;;
U;0;(Street, large_local);(Wind_Direction, S);(Stop, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, 'Partly Cloudy');(Crossing, True);0.000;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, S);(Stop, True);0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Junction, True);(Traffic_Signal, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, SW);(Stop, True);0.000;;
U;0;(Street, Highway);(Wind_Direction, N);(Crossing, True);0.000;;
U;0;(Wind_Direction, Calm);(Crossing, True);(Junction, True);0.000;;
U;0;(Wind_Direction, SW);(Junction, True);(Traffic_Signal, True);0.000;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, SW);(Weather_Condition, 'Heavy Rain');0.000;;
U;0;(Wind_Direction, Variable);(Weather_Condition, 'Partly Cloudy');(Traffic_Signal, True);0.000;;
U;0;(Wind_Direction, NE);(Station, True);(Sunrise_Sunset, Night);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, NW);(Station, True);0.000;;
U;0;(Wind_Direction, NW);(Junction, True);(Traffic_Signal, True);0.000;;
U;0;(Wind_Direction, N);(Weather_Condition, Fair);(Amenity, True);0.000;;
U;0;(Street, Highway);(Weather_Condition, 'Partly Cloudy');(Stop, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, 'Partly Cloudy');(Stop, True);0.000;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Weather_Condition, 'Partly Cloudy');(Stop, True);0.000;;
U;0;(Wind_Direction, SE);(Junction, True);(Traffic_Signal, True);0.000;;
U;0;(Wind_Direction, NE);(Weather_Condition, Fog);(Traffic_Signal, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, NE);(Station, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, 'Heavy Rain');(Traffic_Signal, True);0.000;;
U;0;(Wind_Direction, Variable);(Weather_Condition, 'Partly Cloudy');(Crossing, True);0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, NW);(Station, True);0.000;;
U;0;(Wind_Direction, SE);(Weather_Condition, Drizzle);(Crossing, True);0.000;;
U;0;(Wind_Direction, SW);(Weather_Condition, Cloudy);(Amenity, True);0.000;;
U;0;(Street, Highway);(Junction, True);(Traffic_Signal, True);0.000;;
U;0;(Wind_Direction, S);(Crossing, True);(Station, True);0.000;;
U;0;(Weather_Condition, 'Partly Cloudy');(Junction, True);(Traffic_Signal, True);0.000;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, NE);(Amenity, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, Variable);(Weather_Condition, Fair);0.000;;
U;0;(Weather_Condition, Cloudy);(Junction, True);(Traffic_Signal, True);0.000;;
U;0;(Street, Highway);(Wind_Direction, S);(Stop, True);0.000;;
U;0;(Street, large_local);(Wind_Direction, N);(Amenity, True);0.000;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, SW);(Amenity, True);0.000;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Crossing, True);(Junction, True);0.000;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Junction, True);(Traffic_Signal, True);0.000;;
U;0;(Wind_Direction, SW);(Weather_Condition, Drizzle);(Crossing, True);0.000;;
U;0;(Weather_Condition, 'Mostly Cloudy');(Crossing, True);(Junction, True);0.000;;
U;0;(Wind_Direction, NE);(Amenity, True);(Crossing, True);0.000;;
U;0;(Wind_Direction, NE);(Weather_Condition, Fair);(Amenity, True);0.000;;
U;0;(Street, local);(Crossing, True);(Junction, True);0.000;;
U;0;(Weather_Condition, Cloudy);(Crossing, True);(Junction, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, SW);(Amenity, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, Fair);(Amenity, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Crossing, True);(Junction, True);0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Crossing, True);(Junction, True);0.000;;
U;0;(Wind_Direction, NE);(Weather_Condition, 'Partly Cloudy');(Station, True);0.000;;
U;0;(Wind_Direction, S);(Weather_Condition, Cloudy);(Station, True);0.000;;
U;0;(Wind_Direction, NE);(Crossing, True);(Junction, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, Variable);(Weather_Condition, 'Partly Cloudy');0.000;;
U;0;(Wind_Direction, N);(Junction, True);(Traffic_Signal, True);0.000;;
U;0;(Wind_Direction, E);(Weather_Condition, Fog);(Traffic_Signal, True);0.000;;
U;0;(Wind_Direction, NE);(Weather_Condition, Fog);(Crossing, True);0.000;;
U;0;(Wind_Direction, S);(Crossing, True);(Junction, True);0.000;;
U;0;(Weather_Condition, 'Partly Cloudy');(Crossing, True);(Junction, True);0.000;;
U;0;(Street, Highway);(Crossing, True);(Junction, True);0.000;;
U;0;(Weather_Condition, Drizzle);(Junction, True);(Traffic_Signal, True);0.000;;
U;0;(Wind_Direction, SW);(Weather_Condition, 'Heavy Rain');(Traffic_Signal, True);0.000;;
U;0;(Wind_Direction, SW);(Crossing, True);(Junction, True);0.000;;
U;0;(Wind_Direction, N);(Crossing, True);(Junction, True);0.000;;
U;0;(Wind_Direction, NE);(Junction, True);(Traffic_Signal, True);0.000;;
U;0;(Street, local);(Wind_Direction, SW);(Weather_Condition, 'Heavy Rain');0.000;;
D;1;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, 'Partly Cloudy');(Station, True);0.004;223.439;
D;1;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, E);(Weather_Condition, 'Partly Cloudy');0.004;31.920;
D;1;(Weather_Condition, 'Partly Cloudy');(Station, True);(Sunrise_Sunset, Night);0.004;27.930;
D;1;(Humidity(_%), '\'(82.5-93.5]\'');(Weather_Condition, Fair);(Stop, True);0.004;17.188;
D;1;(Humidity(_%), '\'(82.5-93.5]\'');(Weather_Condition, Fog);(Traffic_Signal, True);0.004;17.188;
D;1;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, NW);(Crossing, True);0.004;15.960;
D;1;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, S);(Weather_Condition, 'Partly Cloudy');0.004;15.960;
D;1;(Wind_Direction, NW);(Weather_Condition, 'Partly Cloudy');(Stop, True);0.004;15.960;
D;1;(Wind_Direction, N);(Weather_Condition, 'Partly Cloudy');(Junction, True);0.004;14.896;
D;1;(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, 'Partly Cloudy');(Crossing, True);0.004;14.896;
D;1;(Wind_Direction, E);(Weather_Condition, Fair);(Junction, True);0.007;14.415;
D;1;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, SW);(Traffic_Signal, True);0.011;13.680;
D;1;(Street, local);(Wind_Direction, Variable);(Weather_Condition, Cloudy);0.011;13.680;
D;1;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, NE);(Weather_Condition, Clear);0.004;13.143;
D;1;(Street, large_local);(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, Thunderstorms);0.004;13.143;
D;1;(Street, Highway);(Humidity(_%), '\'(93.5-inf)\'');(Crossing, True);0.004;13.143;
D;1;(Street, large_local);(Wind_Direction, W);(Crossing, True);0.011;11.760;
D;1;(Humidity(_%), '\'(82.5-93.5]\'');(Weather_Condition, 'Partly Cloudy');(Crossing, True);0.004;11.760;
D;1;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, SE);(Traffic_Signal, True);0.011;11.557;
D;1;(Street, Highway);(Wind_Direction, E);(Weather_Condition, 'Partly Cloudy');0.007;11.458;
D;1;(Street, Beltway);(Wind_Direction, N);(Junction, True);0.011;11.361;
D;1;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, Calm);(Stop, True);0.004;11.172;
D;1;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, SW);(Weather_Condition, Fair);0.018;10.953;
D;1;(Wind_Direction, NE);(Weather_Condition, 'Mostly Cloudy');(Traffic_Signal, True);0.007;10.899;
D;1;(Street, large_local);(Weather_Condition, Fair);(Stop, True);0.004;10.640;
D;1;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, NW);(Traffic_Signal, True);0.007;10.640;
D;1;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, SE);(Traffic_Signal, True);0.007;10.640;
D;1;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, Variable);(Weather_Condition, Fair);0.004;10.640;
D;1;(Street, Highway);(Weather_Condition, Fair);(Stop, True);0.004;10.640;
D;1;(Wind_Direction, NW);(Weather_Condition, 'Partly Cloudy');(Crossing, True);0.007;10.393;
D;1;(Street, large_local);(Wind_Direction, E);(Crossing, True);0.004;10.156;
D;1;(Weather_Condition, 'Partly Cloudy');(Station, True);(Traffic_Signal, False);0.004;10.156;
D;1;(Street, local);(Weather_Condition, 'Partly Cloudy');(Station, True);0.004;9.715;
D;1;(Humidity(_%), '\'(93.5-inf)\'');(Station, True);(Sunrise_Sunset, Night);0.004;9.715;
D;1;(Visibility(mi), '\'(-inf-9.5]\'');(Station, True);(Sunrise_Sunset, Night);0.004;9.715;
D;1;(Street, local);(Wind_Direction, Variable);(Weather_Condition, Drizzle);0.004;9.310;
D;1;(Street, Highway);(Wind_Direction, N);(Weather_Condition, Rain);0.004;9.310;
D;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, Calm);(Sunrise_Sunset, Night);0.033;9.273;
D;1;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, SW);(Junction, True);0.011;8.938;
D;1;(Wind_Direction, SW);(Weather_Condition, Overcast);(Traffic_Signal, True);0.004;8.938;
D;1;(Wind_Direction, NE);(Weather_Condition, Cloudy);(Junction, True);0.014;8.849;
D;1;(Street, large_local);(Wind_Direction, Variable);(Weather_Condition, Fair);0.011;8.820;
D;1;(Street, local);(Wind_Direction, S);(Weather_Condition, Cloudy);0.022;8.649;
D;1;(Wind_Direction, Variable);(Weather_Condition, Fair);(Station, False);0.032;8.594;
D;1;(Wind_Direction, Variable);(Weather_Condition, Fair);(Stop, False);0.032;8.594;
D;1;(Street, large_local);(Weather_Condition, Thunderstorms);(Junction, False);0.004;8.594;
D;1;(Street, large_local);(Weather_Condition, Thunderstorms);(Traffic_Signal, False);0.004;8.594;
D;1;(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, 'Partly Cloudy');(Traffic_Signal, True);0.004;8.594;
D;1;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, S);(Weather_Condition, 'Partly Cloudy');0.004;8.594;
D;1;(Street, large_local);(Humidity(_%), '\'(93.5-inf)\'');(Traffic_Signal, True);0.022;8.539;
D;1;(Wind_Direction, Variable);(Weather_Condition, Fair);(Traffic_Calming, False);0.032;8.521;
D;1;(Wind_Direction, Variable);(Weather_Condition, Fair);(Amenity, False);0.032;8.485;
D;1;(Wind_Direction, Variable);(Weather_Condition, Fair);(Railway, False);0.032;8.485;
D;1;(Wind_Direction, SW);(Weather_Condition, Cloudy);(Junction, True);0.007;8.432;
D;1;(Street, local);(Wind_Direction, NE);(Weather_Condition, Fog);0.004;8.276;
D;1;(Wind_Direction, N);(Weather_Condition, Fair);(Junction, True);0.007;8.276;
D;1;(Street, large_local);(Wind_Direction, E);(Junction, True);0.004;8.276;
D;1;(Street, Interstate);(Weather_Condition, Haze);(Junction, False);0.004;8.276;
D;1;(Wind_Direction, Calm);(Weather_Condition, Drizzle);(Traffic_Signal, True);0.004;8.276;
D;1;(Humidity(_%), '\'(93.5-inf)\'');(Station, True);(Traffic_Signal, False);0.004;8.276;
D;1;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, N);(Traffic_Signal, True);0.004;8.276;
D;1;(Street, local);(Weather_Condition, Fog);(Stop, False);0.018;8.276;
D;1;(Street, local);(Weather_Condition, Fog);(Traffic_Signal, False);0.014;8.125;
D;1;(Street, Beltway);(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, SW);0.007;8.125;
D;1;(Wind_Direction, W);(Weather_Condition, 'Mostly Cloudy');(Traffic_Signal, True);0.007;8.125;
D;1;(Street, large_local);(Weather_Condition, Thunderstorms);(Crossing, False);0.004;7.980;
D;1;(Street, large_local);(Weather_Condition, Thunderstorms);(Station, False);0.004;7.980;
D;1;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, NW);(Crossing, True);0.004;7.980;
D;1;(Street, local);(Weather_Condition, Fog);(Amenity, False);0.018;7.868;
D;1;(Street, local);(Weather_Condition, Fog);(Junction, False);0.018;7.868;
D;1;(Street, local);(Weather_Condition, Fog);(Station, False);0.018;7.813;
D;1;(Street, local);(Weather_Condition, Fog);(Sunrise_Sunset, Day);0.018;7.758;
D;1;(Street, large_local);(Weather_Condition, Thunderstorms);(Amenity, False);0.004;7.705;
D;1;(Street, large_local);(Weather_Condition, Thunderstorms);(Railway, False);0.004;7.705;
D;1;(Street, large_local);(Weather_Condition, Thunderstorms);(Stop, False);0.004;7.705;
D;1;(Street, large_local);(Weather_Condition, Thunderstorms);(Traffic_Calming, False);0.004;7.705;
D;1;(Street, large_local);(Wind_Direction, E);(Traffic_Signal, True);0.004;7.705;
D;1;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, E);(Traffic_Signal, True);0.004;7.705;
D;1;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, E);(Weather_Condition, 'Mostly Cloudy');0.004;7.705;
D;1;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, SW);(Weather_Condition, 'Scattered Clouds');0.004;7.705;
D;1;(Street, local);(Weather_Condition, Fog);(Traffic_Calming, False);0.018;7.705;
D;1;(Street, local);(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, S);0.018;7.652;
D;1;(Street, local);(Weather_Condition, Fog);(Railway, False);0.018;7.652;
D;1;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, Fair);(Junction, True);0.011;7.617;
D;1;(Street, local);(Wind_Direction, Variable);(Stop, False);0.025;7.593;
D;1;(Street, local);(Wind_Direction, Variable);(Station, False);0.025;7.556;
D;1;(Street, local);(Wind_Direction, Variable);(Amenity, False);0.025;7.520;
D;1;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, S);(Weather_Condition, Cloudy);0.014;7.511;
D;1;(Street, local);(Wind_Direction, Variable);(Railway, False);0.025;7.484;
D;1;(Amenity, True);(Crossing, True);(Traffic_Signal, False);0.004;7.448;
D;1;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, NE);(Crossing, True);0.004;7.448;
D;1;(Street, large_local);(Wind_Direction, W);(Traffic_Signal, True);0.011;7.448;
D;1;(Humidity(_%), '\'(93.5-inf)\'');(Visibility(mi), '\'(-inf-9.5]\'');(Station, True);0.004;7.448;
D;1;(Visibility(mi), '\'(-inf-9.5]\'');(Station, True);(Traffic_Signal, False);0.004;7.448;
D;1;(Street, local);(Wind_Direction, Variable);(Traffic_Calming, False);0.025;7.448;
D;1;(Street, large_local);(Weather_Condition, Fair);(Junction, True);0.022;7.366;
D;1;(Street, local);(Humidity(_%), '\'(93.5-inf)\'');(Junction, True);0.011;7.366;
D;1;(Weather_Condition, 'Heavy Rain');(Junction, False);(Sunrise_Sunset, Day);0.007;7.208;
D;1;(Humidity(_%), '\'(82.5-93.5]\'');(Visibility(mi), '\'(-inf-9.5]\'');(Crossing, True);0.014;7.208;
D;1;(Street, Interstate);(Weather_Condition, Haze);(Amenity, False);0.004;7.208;
D;1;(Street, Interstate);(Weather_Condition, Haze);(Crossing, False);0.004;7.208;
D;1;(Street, Interstate);(Weather_Condition, Haze);(Railway, False);0.004;7.208;
D;1;(Street, Interstate);(Weather_Condition, Haze);(Station, False);0.004;7.208;
D;1;(Street, Interstate);(Weather_Condition, Haze);(Stop, False);0.004;7.208;
D;1;(Street, Interstate);(Weather_Condition, Haze);(Traffic_Calming, False);0.004;7.208;
D;1;(Street, Interstate);(Weather_Condition, Haze);(Traffic_Signal, False);0.004;7.208;
D;1;(Wind_Direction, Calm);(Weather_Condition, Fog);(Traffic_Signal, True);0.004;6.982;
D;1;(Weather_Condition, 'Partly Cloudy');(Crossing, False);(Station, True);0.004;6.982;
D;1;(Street, local);(Wind_Direction, N);(Traffic_Signal, True);0.011;6.910;
D;1;(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, Fair);(Junction, True);0.007;6.875;
D;1;(Wind_Direction, NE);(Weather_Condition, Fog);(Traffic_Signal, False);0.004;6.771;
D;1;(Street, large_local);(Weather_Condition, Fair);(Amenity, True);0.004;6.771;
D;1;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, Drizzle);(Crossing, True);0.004;6.771;
D;1;(Wind_Direction, W);(Weather_Condition, 'Mostly Cloudy');(Crossing, True);0.004;6.771;
D;1;(Humidity(_%), '\'(82.5-93.5]\'');(Stop, True);(Sunrise_Sunset, Day);0.004;6.771;
D;1;(Street, local);(Humidity(_%), '\'(93.5-inf)\'');(Station, True);0.004;6.771;
D;1;(Street, local);(Weather_Condition, 'Partly Cloudy');(Stop, True);0.004;6.771;
D;1;(Street, local);(Weather_Condition, Fog);(Crossing, False);0.014;6.720;
D;1;(Wind_Direction, Variable);(Weather_Condition, Cloudy);(Amenity, False);0.014;6.720;
D;1;(Wind_Direction, Variable);(Weather_Condition, Cloudy);(Railway, False);0.014;6.670;
D;1;(Wind_Direction, Variable);(Weather_Condition, Cloudy);(Station, False);0.014;6.670;
D;1;(Wind_Direction, Variable);(Weather_Condition, Cloudy);(Stop, False);0.014;6.670;
D;1;(Wind_Direction, Variable);(Weather_Condition, Cloudy);(Traffic_Calming, False);0.014;6.670;
D;1;(Street, local);(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, Variable);0.007;6.572;
D;1;(Weather_Condition, Fair);(Stop, True);(Sunrise_Sunset, Day);0.011;6.572;
D;1;(Street, Beltway);(Wind_Direction, NE);(Junction, False);0.029;6.476;
D;1;(Street, large_local);(Wind_Direction, S);(Weather_Condition, 'Partly Cloudy');0.007;6.476;
D;1;(Wind_Direction, E);(Weather_Condition, 'Partly Cloudy');(Junction, False);0.007;6.384;
D;1;(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, Drizzle);(Crossing, True);0.004;6.384;
D;1;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, Thunderstorms);(Junction, False);0.004;6.384;
D;1;(Street, local);(Weather_Condition, Cloudy);(Station, True);0.004;6.384;
D;1;(Wind_Direction, Calm);(Weather_Condition, Fair);(Stop, True);0.004;6.384;
D;1;(Street, Highway);(Wind_Direction, W);(Traffic_Signal, True);0.004;6.384;
D;1;(Wind_Direction, E);(Weather_Condition, 'Partly Cloudy');(Traffic_Signal, False);0.007;6.294;
D;1;(Street, local);(Humidity(_%), '\'(82.5-93.5]\'');(Crossing, True);0.022;6.265;
D;1;(Street, large_local);(Wind_Direction, N);(Crossing, True);0.004;6.207;
D;1;(Wind_Direction, NE);(Weather_Condition, Fog);(Junction, False);0.004;6.207;
D;1;(Weather_Condition, 'Heavy Rain');(Crossing, False);(Sunrise_Sunset, Day);0.007;6.207;
D;1;(Weather_Condition, 'Heavy Rain');(Stop, False);(Sunrise_Sunset, Day);0.007;6.207;
D;1;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, SW);(Junction, True);0.007;6.207;
D;1;(Street, local);(Traffic_Calming, True);(Traffic_Signal, True);0.004;6.207;
D;1;(Street, local);(Weather_Condition, Fog);(Traffic_Signal, True);0.004;6.207;
D;1;(Wind_Direction, E);(Weather_Condition, 'Partly Cloudy');(Crossing, False);0.007;6.122;
D;1;(Weather_Condition, Fair);(Crossing, False);(Station, True);0.007;6.122;
D;1;(Wind_Direction, NW);(Stop, True);(Sunrise_Sunset, Day);0.007;6.122;
D;1;(Street, Beltway);(Wind_Direction, NE);(Weather_Condition, Cloudy);0.022;6.094;
D;1;(Street, Beltway);(Wind_Direction, NE);(Amenity, False);0.040;6.054;
D;1;(Street, Beltway);(Wind_Direction, NE);(Crossing, False);0.040;6.054;
D;1;(Street, Beltway);(Wind_Direction, NE);(Railway, False);0.040;6.054;
D;1;(Street, Beltway);(Wind_Direction, NE);(Station, False);0.040;6.054;
D;1;(Street, Beltway);(Wind_Direction, NE);(Stop, False);0.040;6.054;
D;1;(Street, Beltway);(Wind_Direction, NE);(Traffic_Calming, False);0.040;6.054;
D;1;(Street, Beltway);(Wind_Direction, NE);(Traffic_Signal, False);0.040;6.054;
D;1;(Street, local);(Wind_Direction, NW);(Crossing, True);0.022;6.039;
D;1;(Street, large_local);(Wind_Direction, Variable);(Station, False);0.014;6.039;
D;1;(Wind_Direction, NE);(Weather_Condition, Fog);(Crossing, False);0.004;6.039;
D;1;(Wind_Direction, NE);(Weather_Condition, Fog);(Stop, False);0.004;6.039;
D;1;(Street, local);(Weather_Condition, Drizzle);(Crossing, True);0.004;6.039;
D;1;(Weather_Condition, 'Heavy Rain');(Amenity, False);(Sunrise_Sunset, Day);0.007;6.039;
D;1;(Weather_Condition, 'Heavy Rain');(Railway, False);(Sunrise_Sunset, Day);0.007;6.039;
D;1;(Weather_Condition, 'Heavy Rain');(Station, False);(Sunrise_Sunset, Day);0.007;6.039;
D;1;(Weather_Condition, 'Heavy Rain');(Traffic_Calming, False);(Sunrise_Sunset, Day);0.007;6.039;
D;1;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, Thunderstorms);(Traffic_Signal, False);0.004;6.039;
D;1;(Street, local);(Traffic_Calming, True);(Sunrise_Sunset, Day);0.004;6.039;
D;1;(Street, local);(Wind_Direction, NE);(Junction, True);0.004;6.039;
D;1;(Street, local);(Wind_Direction, NW);(Stop, True);0.007;6.039;
D;1;(Humidity(_%), '\'(82.5-93.5]\'');(Weather_Condition, 'Partly Cloudy');(Traffic_Signal, True);0.004;6.039;
D;1;(Street, Beltway);(Weather_Condition, Drizzle);(Junction, True);0.004;6.039;
D;1;(Wind_Direction, NW);(Weather_Condition, Drizzle);(Junction, True);0.004;6.039;
D;1;(Street, large_local);(Wind_Direction, Variable);(Railway, False);0.014;5.958;
D;1;(Street, large_local);(Wind_Direction, Variable);(Stop, False);0.014;5.958;
D;1;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, SW);(Traffic_Signal, True);0.007;5.958;
D;1;(Street, local);(Wind_Direction, E);(Weather_Condition, 'Mostly Cloudy');0.007;5.958;
D;1;(Wind_Direction, Variable);(Weather_Condition, Fair);(Crossing, False);0.022;5.932;
